StudyID,TreatmentID,Eventcount,Samplesize
1,1,199,287
1,2,236,268
2,1,76,131
2,2,111,129
3,1,190,267
3,2,243,263
4,1,139,236
4,2,86,111
5,1,206,268
5,2,84,102
6,1,319,406
6,2,349,397
7,1,153,206
7,2,155,205
8,3,248,266
8,2,250,255
9,3,441,682
9,2,251,309
10,3,113,154
10,2,135,150
11,3,252,357
11,2,138,171
12,6,95,142
12,2,119,135
13,6,319,459
13,2,395,443
14,6,390,609
14,2,496,578
15,5,344,388
15,2,292,361
16,5,54,59
16,2,54,62
17,5,109,138
17,2,52,65
18,5,391,478
18,2,361,476
19,5,75,84
19,2,40,44
20,5,192,247
20,2,96,251
21,1,385,452
21,7,434,453
22,1,270,313
22,7,268,311
22,4,300,313
23,4,86,94
23,7,43,46
